id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
753,200809,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.34999990463257,8617.0
754,200809,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,6.15000009536743,1381.0
755,200809,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,4.32999992370605,26228.0
756,200809,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
757,200809,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.40000009536743,15.0
758,200809,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
759,200810,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.8899998664856,229.0
760,200810,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
761,200810,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,5.07000017166138,15844.0
762,200810,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.42000007629395,16.0
763,200810,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
764,200810,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
